# in-window irreducibles of odd degree over F_{3^11}
# f = T^n + g monic irreducible, deg g <= floor(n/2).
# carrier F3 means g has F_3 coefficients; since 11 is prime and
# 11 does not divide n, such an f stays irreducible over F_{3^11}.
# g is stored as the base-3 digit string of its coefficient vector
# (low degree first; 11 trits per F_{3^11} coefficient), packed
# into one integer and printed in hex.
# n|carrier|tail_base3_hex|tries|seconds
931|F3|0x2dd28a007257e9a9f4bb7ea45fd3215350983ce90832d27b7be51314c7b6ba473ce8ebd6bb8df6605a82d900cb32cceabd3a4e95f28451fde24ccda98b7e105cf72feede4c4b06ee27be47c1303d830efa8d46f7ca64cc8148486cdf3|3318|62.1
933|F3|0xd71bcdb82c0bc3ed8ceecda6647fee8cd452e95a055d4426f6a2f898eacf0a0f40b0702b3e4f64482b925fca5ba31015b3456a2a91d6b4beda2254c300f684872d6e1105fb4f01c832113e38a76d66b24c7414f9f3d3884ec5603dac7|882|21.8
935|F3^11|0x9acad0c7a7e2d42593d421e8e620b6f7e74b83dcb74374ce1ca4b4e7e7f6c417b62b078e1ec8d0c22fa441b986ce90b9496a768c5b300651c783552ca1af2e63783ba99ef34e3216b5e179de026dd8e07c27aadd6b3c128f34269e2df0ea9ca32b2d9ab91e6246f5d3afcb0d22079b589f5046ab0fa193c69c965357f83c9df6c051bab4b40c2b7e46e1b8efbe224860048281f52d91931f284d4c5dedd44ee14bc606cd1b7edd084cf777241a2cbb5ad3badd2eeb37cc09d4f20d571bee8fc415044166332839b7897d8083d12b85a659de530dc3058c2312f787ab6245c84e7063f3b7c2036e3fee3bfd02c8988f7a542971625ad6700fc0e51b767e7eeb27b8fc76013aad7733e0516a7d82e370717ec5b9491bd59da45dc245cd51da4092a587fb75da4201537678c057a6b7c69b3304e16d90cb2ac3ba7ed735d963471229ee94bd88a028bf5b440fc2e05493094b445db87e40638c7fa8248245cb98888a0316038156cf9e8b8df0d1c9a1b229181b865fa6f0713db7d3451ec69b896572f7e18be9f57a733a538f4bb96b9b93dad4b2cdefbaa24f196176c71a8f91d076c6488b70ab8d688e56dbca0a2c5b1853de2666f0563ee7bce257462305a18af0fd633f723d59e9b156cf04d0bb3b94079d50b51927ab660c0173867805ef14cb96d6936f14d9f68c9e72eb9d57aed0b20eaff46c50256fe80e4c1b8a76f61d301aa4a38721f152e268563cbb28b1c16f99d164b8da05449d98e78a7296558292c94c1cf8af6d575b68d3c9afc25a11923a39b598cc622d35632d1869868ebbd6e2deb707e4753cfc63ad702cbe4bbb03dd97674ff4abc9a62df54f04642a736a76699072b1436968c36203e2f7507402ab4c688056128aa5284e9a0e8a80f7088c681dadcac32eb66bd4e27ca18779e4c50300155aac5ae0f3d2035de1e968be4d1a18c22709497bb94fe4efeab6400933e112a3e2b95da9b9c542c5ab9597e6973be19afa47b7a36e70d2dcbd9ec2ee676b0d0fe8d4b2e6519d70bce0f2466ae95e679d94ba6397c83b43637da34c458a859e4b66d991e1d68e566c339b812cbd6691d14e0f5c1e1051ccf0435355f3715b341c1cad741f9c991d13bc34b15c59d3692930fb5820a9301b2e8c55634f845a90b76e1c1565e9c9ba729dc59dbe87c3825f18f04b8688eb22dbff33b5969729ba5f0f69c14095e37fad1296b74aa86393335a7f83cd0957552f9e87ae09a68fd43cdd87fcbbe1337783d7d7d3be65603d7d6723e82cf92f53469f9a1f02d9a6114e8538a386516b4e01f162e2cea7e71ae7ec2d360336c786c31e2c75ac4dad90b4e91b69171cf9bffe110d6febc43cd60bcc061c82410033f0312b289d8a586de18d290225b053c714d2597011c37c12a8a9784b917beb5222f4314f6e04360c7f731e7739049112|984|1657.1
937|F3|0x16dac2482c0f807a65969c2db46866803bcd4209b55d9a3812921add3539a9b044f78062d33c8a1b1cc3f0ae0e30cdfccb8eb250feb3861add023fffceb1a62febd8a5e508374b28bed08defccd52f1cf5b5812133fb08c0583aa955e5|107|2.5
939|F3|0x185a540d72aa6468839a6fd1190a5638fc2aa352bdcfbb42e24dea9b836715a23add788945d2c2b29dd1148cbbe4b17e35372b9817fb91edc63d1efb9ce7a686671e8131cac44e1812e46d3897489ce99ded9cb5724afd8bb2304ab4a13|136|4.0
941|F3|0x16e7ce8658df43feb0e7e5df2bd7312efa27004a369c97aa5f0a78eb60fa2f97c26d780131f125b3ea1751986358a62e0f644408c32238af349721c91477b7e071d2fd2d59be62fbedbeb02643b3da9cbcccbc4ba64c3234bfe9c735134|1332|25.5
943|F3|0x741b8624964d65b5b4b73452ac557770e8ef098154cf16a31c5549e628abe807caa8237c0e8c326e2f285d8c8a6a134600106c094a27536c7861d23c9f653f40255bc15b1cae3a5b90fa18ce992a9143da0f4959eccf34acd711d212a7d|3894|78.2
945|F3|0x13a3e7f441f23691416141d0271d778b9a7d9fb60b0fcfe156cb4702c008914e672bae6a87cc1afc46fa0dc82e7bfb18dc492469fd6e9128815d19c8a80bbe587e452ec41bbd5595197324aaac29796fc6259e04c9ba7590b4934ffd379e|17|0.9
947|F3|0x8834893c8608cade17fae2da73b4964148e3122b56489b8f546af3c8c9b34de7e61997f753f2d9b84bd6ba1aafbae506e4b2d2fa479a983d7f9d4326a7f6a682afef08cc5c73bca2fec97e3118531cf0a270b978bb94bd42b54fe4db3365|1289|31.8
949|F3|0x126795e0b64b2b3b877c4aee66408bd23948ccc75336e86dd3648f625e4877cb0203c2b91c549f0b8349e26efbf1c356ee97d7bd70c640ad426dd059b01beba33729d8febfecab434b8be72f6203f102be35c4619a9e9d1a3066da4976e7b|306|6.6
